ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:1903509,liposaccharide metabolic process,20/404,114/18805,0.17543859649122806,8.166145561924614,11.371476902727066,4.160575653521939e-13,2.2136153647488316e-11,1.251656431651636e-11,B3GALT2/GALC/UGT8/B4GALT4/GBA1/B3GALNT1/B4GALT3/GLA/B4GALT6/HEXA/B3GALT4/ST3GAL3/GLB1/NAGA/B3GNT5/UGCG/ST6GALNAC3/ST8SIA5/BAX/PGAP1,20
GO:0009199,ribonucleoside triphosphate metabolic process,29/404,261/18805,0.1111111111111111,5.171892189218922,10.056496627393823,4.5430774423611827e-13,2.383335737917002e-11,1.347622334328843e-11,PRKAG2/MTOR/IL4/NME6/STAT3/HIF1A/IGF1/ITPA/PPARA/FBP1/IFNG/TPI1/CTPS1/UCKL1/IMPDH1/TGFB1/PFKL/ALDOA/DHTKD1/PRKACA/PFKFB1/PKM/GAPDH/OGDH/ENPP1/PGK1/ADPGK/NUDT2/AK3,29
GO:0009225,nucleotide-sugar metabolic process,14/404,46/18805,0.30434782608695654,14.166487300904004,13.247657450804741,4.581380102787915e-13,2.383335737917002e-11,1.347622334328843e-11,EXTL2/NANS/FUT8/AMDHD2/NAGK/GNPDA1/DPAGT1/NANP/FPGT/FCSK/PGM3/GNPNAT1/GUK1/GFPT1,14
GO:0009137,purine nucleoside diphosphate catabolic process,19/404,102/18805,0.18627450980392157,8.670525140749369,11.5097167997378,5.2525138199966e-13,2.6730727940460956e-11,1.511449915021905e-11,PRKAG2/MTOR/STAT3/HIF1A/IGF1/PPARA/FBP1/IFNG/TPI1/PFKL/ALDOA/DHTKD1/PRKACA/PFKFB1/PKM/GAPDH/OGDH/PGK1/ADPGK,19
GO:0009181,purine ribonucleoside diphosphate catabolic process,19/404,102/18805,0.18627450980392157,8.670525140749369,11.5097167997378,5.2525138199966e-13,2.6730727940460956e-11,1.511449915021905e-11,PRKAG2/MTOR/STAT3/HIF1A/IGF1/PPARA/FBP1/IFNG/TPI1/PFKL/ALDOA/DHTKD1/PRKACA/PFKFB1/PKM/GAPDH/OGDH/PGK1/ADPGK,19
GO:0006650,glycerophospholipid metabolic process,31/404,302/18805,0.10264900662251655,4.778006360238672,9.80709027274477,5.877335040805597e-13,2.958890608715248e-11,1.6730614179542814e-11,DGKK/CEPT1/PEMT/LPCAT3/ALOX15/INPP5B/PIP4P2/MTM1/PCYT1A/PLA2G4B/CDIPT/IMPA1/PISD/PAFAH1B1/INPP5A/IPMK/INPP1/PTEN/PIP5K1C/INPP4A/PIK3C2A/PTDSS2/PIK3C3/GDPD1/LCAT/PLAAT3/PIK3CA/PIKFYVE/CRLS1/PGAP1/AGPAT1,31
GO:0009191,ribonucleoside diphosphate catabolic process,19/404,105/18805,0.18095238095238095,8.422795851013673,11.301509481980027,9.070291875318959e-13,4.5177772936429115e-11,2.5545110936648583e-11,PRKAG2/MTOR/STAT3/HIF1A/IGF1/PPARA/FBP1/IFNG/TPI1/PFKL/ALDOA/DHTKD1/PRKACA/PFKFB1/PKM/GAPDH/OGDH/PGK1/ADPGK,19
GO:0002573,myeloid leukocyte differentiation,28/404,250/18805,0.112,5.213267326732673,9.93696205880047,9.555290466932192e-13,4.709249470123844e-11,2.6627762353833205e-11,IL23R/CTNNB1/IRF4/MTOR/IL4/IL23A/RUNX1/STAT5A/FOS/GATA3/GLO1/CEBPB/IFNG/PPARG/MITF/TGFB1/GBA1/PAFAH1B1/TNF/MAPK14/CEBPA/MYC/SPI1/CD74/FASN/LEF1/VEGFA/PPP3CA,28
GO:0032943,mononuclear cell proliferation,31/404,308/18805,0.10064935064935066,4.684928314259998,9.661595360235543,9.930217979909534e-13,4.843050060618379e-11,2.738431822310579e-11,IL23R/CTNNB1/IL10/IL4/IL23A/CD274/IL2RA/IGF1/TP53/ACE/PCYT1A/CEBPB/IL12A/BCL2/IL18/ADA/CTPS1/HPRT1/PRNP/IL12RB1/TGFB1/BID/IL4I1/ST6GAL1/CD74/LEF1/VAV3/MIF/ARG1/PPP3CA/BAX,31
GO:0046364,monosaccharide biosynthetic process,18/404,94/18805,0.19148936170212766,8.913261006951759,11.396356046697996,1.320004969142127e-12,6.371405428374679e-11,3.6026180112777536e-11,PPARGC1A/PRKAG2/GNMT/ATF4/PPARA/PDK2/FOXO1/FBP1/TPI1/AKR1B1/PGD/SORD/PRKACA/PFKFB1/ACADM/PER2/PGK1/NNMT,18
GO:0009134,nucleoside diphosphate catabolic process,19/404,108/18805,0.17592592592592593,8.188829299596627,11.101436425102897,1.5372135979417999e-12,7.34411639343215e-11,4.152623199595732e-11,PRKAG2/MTOR/STAT3/HIF1A/IGF1/PPARA/FBP1/IFNG/TPI1/PFKL/ALDOA/DHTKD1/PRKACA/PFKFB1/PKM/GAPDH/OGDH/PGK1/ADPGK,19
GO:0006575,modified amino acid metabolic process,24/404,184/18805,0.13043478260869565,6.07135170038743,10.242977829354777,1.5537117788542911e-12,7.347958129894739e-11,4.154795453289253e-11,GNMT/HPGDS/LPCAT3/GCH1/GATA3/HAGH/GLO1/GSTO2/MTHFD2/MTHFD1/NFE2L2/CTSK/SHMT1/ALDH4A1/ETHE1/GAMT/GATM/PTDSS2/ATIC/ACADM/MTHFD1L/CPT2/MTR/CHAC2,24
GO:0006040,amino sugar metabolic process,13/404,42/18805,0.30952380952380953,14.407413955681283,12.888833562623843,2.4877689918874337e-12,1.1532410316848479e-10,6.520832740590825e-11,EXTL2/NPL/NANS/AMDHD2/NAGK/RENBP/GNPDA1/DPAGT1/ST6GAL1/NANP/PGM3/GNPNAT1/GFPT1,13
GO:0009394,2'-deoxyribonucleotide metabolic process,13/404,42/18805,0.30952380952380953,14.407413955681283,12.888833562623843,2.4877689918874337e-12,1.1532410316848479e-10,6.520832740590825e-11,DTYMK/NUDT16/RRM2B/ADK/ADA/SHMT1/DUT/DPYD/TYMP/UPB1/DCTD/GUK1/CMPK2,13
GO:0006221,pyrimidine nucleotide biosynthetic process,12/404,34/18805,0.35294117647058826,16.428363424577753,13.341685692927808,2.9419008839220762e-12,1.3503901900512903e-10,7.6355838215315e-11,NME6/DTYMK/CDA/CTPS1/UCKL1/UMPS/CMPK1/SHMT1/DHODH/DUT/DCTD/CMPK2,12
GO:0006979,response to oxidative stress,35/404,408/18805,0.0857843137254902,3.9930049990293144,9.056473292667695,3.4621389097340278e-12,1.559337456920715e-10,8.817045581410551e-11,PPARGC1A/SIRT2/KLF2/DGKK/MAPK8/ATF4/PRKN/HIF1A/STAT1/HMOX1/GCH1/TP53/PDK2/FOS/STAT6/FOXO1/RRM2B/SESN3/GPX4/BCL2/ALOX5/CYP1B1/PRNP/FUT8/NFE2L2/SP1/EDN1/NR4A2/PML/PTGS2/TXNRD2/TXN2/EPAS1/PTGS1/NUDT2,35
GO:0009262,deoxyribonucleotide metabolic process,13/404,43/18805,0.3023255813953488,14.072357817177066,12.71579975093394,3.497019072547524e-12,1.559337456920715e-10,8.817045581410551e-11,DTYMK/NUDT16/RRM2B/ADK/ADA/SHMT1/DUT/DPYD/TYMP/UPB1/DCTD/GUK1/CMPK2,13
GO:0019692,deoxyribose phosphate metabolic process,13/404,43/18805,0.3023255813953488,14.072357817177066,12.71579975093394,3.497019072547524e-12,1.559337456920715e-10,8.817045581410551e-11,DTYMK/NUDT16/RRM2B/ADK/ADA/SHMT1/DUT/DPYD/TYMP/UPB1/DCTD/GUK1/CMPK2,13
GO:0006576,biogenic amine metabolic process,18/404,100/18805,0.18,8.378465346534654,10.961810166360731,3.994097504334853e-12,1.747697618251942e-10,9.882100564094594e-11,AMD1/PRKN/ALDH2/GCH1/GATA3/ABAT/HPRT1/NR4A2/SMOX/AOC2/IL4I1/HAAO/KYNU/KMO/GDPD1/EPAS1/ITGAM/AOC1,18
GO:0043648,dicarboxylic acid metabolic process,18/404,100/18805,0.18,8.378465346534654,10.961810166360731,3.994097504334853e-12,1.747697618251942e-10,9.882100564094594e-11,ACSF3/GLS2/QPRT/MTHFD2/MTHFD1/DLD/SHMT1/KYAT3/OAT/ALDH4A1/GLUL/NIT2/HAAO/KYNU/ATIC/OGDH/KMO/MTHFD1L,18
GO:0030148,sphingolipid biosynthetic process,19/404,114/18805,0.16666666666666666,7.757838283828383,10.723561403109493,4.1923403625414775e-12,1.8174571830943704e-10,1.027654582045986e-10,SAMD8/B3GALT2/PEMT/UGT8/KDSR/ACER3/B4GALT4/GBA1/B3GALNT1/B4GALT3/B4GALT6/B3GALT4/MECR/ST3GAL3/SGMS2/B3GNT5/UGCG/ST6GALNAC3/ST8SIA5,19
GO:0072528,pyrimidine-containing compound biosynthetic process,13/404,44/18805,0.29545454545454547,13.752531503150317,12.548443013092083,4.867772120003852e-12,2.0909090886108287e-10,1.1822739625118e-10,MTOR/NME6/DTYMK/CDA/CTPS1/UCKL1/UMPS/CMPK1/SHMT1/DHODH/DUT/DCTD/CMPK2,13
GO:0009205,purine ribonucleoside triphosphate metabolic process,27/404,254/18805,0.1062992125984252,4.947912606221252,9.386329959910755,8.474719871629487e-12,3.607148948997205e-10,2.0396096150381016e-10,PRKAG2/MTOR/IL4/NME6/STAT3/HIF1A/IGF1/ITPA/PPARA/FBP1/IFNG/TPI1/IMPDH1/TGFB1/PFKL/ALDOA/DHTKD1/PRKACA/PFKFB1/PKM/GAPDH/OGDH/ENPP1/PGK1/ADPGK/NUDT2/AK3,27
GO:0035710,"CD4-positive, alpha-beta T cell activation",20/404,134/18805,0.14925373134328357,6.947317866114969,10.2372863611142,9.404886258655685e-12,3.9669979696419744e-10,2.2430809806087292e-10,IL23R/RORC/IRF4/MTOR/IL23A/RUNX1/STAT3/CD274/STAT5A/IL2RA/GATA3/STAT6/CEBPB/IFNG/IL18/STAT4/TBX21/IL4R/IL12RB1/LEF1,20
