position,Model
0,TACO
1,SVC
2,RandomForest
3,ExtraTrees
4,Bagging
5,GradientBoosting
6,KNN
7,TabPFN_Base
8,AdaBoost
9,MLP
10,LogisticRegression
11,LDA
12,RidgeClassifier
