position,Model
0,TACO
1,MLP
2,RandomForest
3,GradientBoosting
4,SVC
5,Bagging
6,ExtraTrees
7,KNN
8,AdaBoost
9,TabPFN_Base
10,LogisticRegression
11,RidgeClassifier
12,LDA
