position,Model
0,SVC
1,ExtraTrees
2,TACO
3,RandomForest
4,Bagging
5,TabPFN_Base
6,GradientBoosting
7,KNN
8,AdaBoost
9,MLP
10,LogisticRegression
11,LDA
12,RidgeClassifier
