position,Model
0,TACO
1,RandomForest
2,GradientBoosting
3,SVC
4,ExtraTrees
5,KNN
6,Bagging
7,MLP
8,AdaBoost
9,TabPFN_Base
10,LogisticRegression
11,RidgeClassifier
12,LDA
